百色,北海,北流,宾阳,博白,岑溪,崇左,德保,防城港北,富川,扶绥,恭城,贵港,桂林,桂林北,桂林西,桂平,合浦,贺州,金城江,靖西,来宾,来宾北,濑湍,黎塘,柳江,柳州,隆安东,陆川,罗城,鹿寨北,南丹,南宁,南宁东,南宁西,宁明,平果,平南南,凭祥,钦州东,全州南,渠旧,渠黎,融安,融水,容县,三江南,三江县,藤县,田东北,田林,田阳,亭亮,文地,梧州,梧州南,夏石,兴安北,兴业,阳朔,宜州,永福南,玉林,钟山西,
34,25,0,46,1,1,3,3,6,1,3,2,49,56,56,0,24,0,6,1,0,42,0,1,46,64,64,13,1,0,0,0,35,0,1,3,25,29,9,25,18,1,0,2,2,1,7,7,26,13,2,15,1,1,59,0,0,13,5,2,1,15,0,2,
34,25,0,46,1,1,3,3,6,1,3,2,49,56,56,56,24,0,6,1,0,42,0,1,46,64,64,13,1,0,0,0,4,2,0,3,25,28,9,25,18,1,0,2,2,1,7,7,26,13,2,15,1,1,59,59,0,13,5,2,1,15,0,2,
0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
22,2,0,6,0,0,0,3,0,0,0,0,8,4,4,0,4,0,0,0,0,5,0,0,6,6,6,11,0,0,1,0,27,27,27,0,0,7,0,2,1,0,0,0,0,0,0,0,7,9,0,11,0,0,11,11,0,1,0,0,0,1,0,0,
8,7,0,9,0,0,0,0,1,0,0,0,19,1,1,1,8,0,0,0,0,3,3,0,9,3,3,2,0,0,0,0,26,26,26,0,5,0,0,7,0,0,0,0,0,0,1,1,13,0,0,4,0,0,32,0,0,0,0,0,0,1,0,0,
0,0,1,2,0,1,0,0,0,0,0,0,2,8,8,0,0,0,1,0,0,4,0,0,2,8,8,0,1,0,0,0,8,8,8,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,2,0,
3,0,0,8,0,0,0,0,2,0,0,0,6,8,8,8,4,0,0,0,0,9,9,0,8,9,9,2,0,0,2,0,26,26,26,0,3,3,0,0,0,0,0,0,0,0,3,3,4,1,0,1,0,0,8,8,0,0,0,0,0,4,0,0,
1,0,0,5,0,0,0,0,0,0,0,0,1,19,19,19,0,0,0,0,0,9,0,0,5,15,15,0,0,0,0,0,14,14,14,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,1,0,
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
